dataset,display_name,model,seed,status,python_class,control_base_class,source_git_commit,source_file_sha256,control_script_sha256,dataset_graph_sha256,x_sha256,edge_index_sha256,y_sha256,split_indices_sha256,config_sha256,backend_sha256,message_backend,reconstruction_backend,global_epochs,local_epochs,hidden_dim,num_layers,weight,threshold_protocol,roc_auc,pr_auc,validation_f1,oracle_best_f1,train_sec,infer_sec,runtime
Elliptic,Elliptic,DLG-Aug-Permuted,42,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugPermuted,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,4e45fa2d88ff435a47ef2b9864d44e7856ac58d953b120a3b6de23aff5d6dcbd,279e2f23c201c7226fefdcaac617d1b983ec4c60fa674df7c5399bd4ab10e9e9,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,20,64,4,0.5,validation_selected_f1,0.6008247665430949,0.11387420764822692,0.22517073170731708,0.22551164886085726,1.6571686510000063,0.018441732000042066,1.6756103830000484
Elliptic,Elliptic,DLG-Aug-Permuted,43,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugPermuted,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,a7a6b38b6e89ea89271ad7751b11bc54e651c7adf4e4822dcb64adb6c3a7285f,279e2f23c201c7226fefdcaac617d1b983ec4c60fa674df7c5399bd4ab10e9e9,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,20,64,4,0.5,validation_selected_f1,0.5297442825683276,0.101117079697298,0.19154267815191856,0.19318501830470292,1.7986795049999955,0.019773205999968013,1.8184527109999635
Elliptic,Elliptic,DLG-Aug-Permuted,44,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugPermuted,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,e70549c05df29d66bcdfd3573bf6bec7f245ff48e1eed5989f9805c03657e059,279e2f23c201c7226fefdcaac617d1b983ec4c60fa674df7c5399bd4ab10e9e9,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,20,64,4,0.5,validation_selected_f1,0.49812626951619277,0.09864504740819419,0.19042717447246527,0.1909083126444654,1.614239153000085,0.0191927079999914,1.6334318610000764
Elliptic,Elliptic,DLG-Aug-Permuted,45,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugPermuted,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,47ef521201e45af276188023100e64b7a3ebd270721d40c2e2f4e41a6493f8ae,279e2f23c201c7226fefdcaac617d1b983ec4c60fa674df7c5399bd4ab10e9e9,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,20,64,4,0.5,validation_selected_f1,0.6015520091037597,0.11443426325991295,0.2271720899027172,0.22745043283998884,1.6140506369999912,0.01924752900004023,1.6332981660000314
Elliptic,Elliptic,DLG-Aug-Permuted,46,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugPermuted,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,93af5bce3a2f22501b66f31e00d99b14467e64a16069a2b06034dd4ec23d717f,279e2f23c201c7226fefdcaac617d1b983ec4c60fa674df7c5399bd4ab10e9e9,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,20,64,4,0.5,validation_selected_f1,0.5773744191964993,0.11226965854477713,0.22083730478774102,0.22230745627493095,1.6432853339999838,0.020718349999924612,1.6640036839999084
DGraphFin,DGraphFin,DLG-Aug-Zero,42,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugZero,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,cf6724f145e128a2870eea69c6e5ca6335204aa21e51cce930ba6791fdd414a3,9cc5475c47f77a233e4c5721f5eb5794459ae9d35416037d1d714fad93af97d7,dd0a7934130c47cbcd52ee0c7b49c7a7c861d4fa70bacc532026f69f51f3cbf0,31094e033122272f5a6987918232d5d0aa41a3d0b50f2421c6d18d6025d04b5c,a0d459c3e58a93775456c6d60eab6e02b21165743c302c677ae05a16e018c76f,681297f41928123d3d8bb61ceab356598d3ae8aaa31ccb088d4e1765adbbc8ed,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,0,64,4,0.5,validation_selected_f1,0.41312404399335667,0.010136191565804632,0.025033317920961733,0.02504612470814897,18.931843844000014,0.21057118999999602,19.14241503400001
DGraphFin,DGraphFin,DLG-Aug-Zero,43,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugZero,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,cf6724f145e128a2870eea69c6e5ca6335204aa21e51cce930ba6791fdd414a3,9cc5475c47f77a233e4c5721f5eb5794459ae9d35416037d1d714fad93af97d7,dd0a7934130c47cbcd52ee0c7b49c7a7c861d4fa70bacc532026f69f51f3cbf0,31094e033122272f5a6987918232d5d0aa41a3d0b50f2421c6d18d6025d04b5c,a0d459c3e58a93775456c6d60eab6e02b21165743c302c677ae05a16e018c76f,681297f41928123d3d8bb61ceab356598d3ae8aaa31ccb088d4e1765adbbc8ed,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,0,64,4,0.5,validation_selected_f1,0.44693530434198014,0.010732397893490049,0.025580788305925344,0.025598763256908373,18.548509531000036,0.19816977799996494,18.746679309
DGraphFin,DGraphFin,DLG-Aug-Zero,44,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugZero,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,cf6724f145e128a2870eea69c6e5ca6335204aa21e51cce930ba6791fdd414a3,9cc5475c47f77a233e4c5721f5eb5794459ae9d35416037d1d714fad93af97d7,dd0a7934130c47cbcd52ee0c7b49c7a7c861d4fa70bacc532026f69f51f3cbf0,31094e033122272f5a6987918232d5d0aa41a3d0b50f2421c6d18d6025d04b5c,a0d459c3e58a93775456c6d60eab6e02b21165743c302c677ae05a16e018c76f,681297f41928123d3d8bb61ceab356598d3ae8aaa31ccb088d4e1765adbbc8ed,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,0,64,4,0.5,validation_selected_f1,0.4354659508082732,0.010609096047616593,0.02515812431842966,0.025200019687515382,18.49638565700002,0.19378646499990282,18.69017212199992
DGraphFin,DGraphFin,DLG-Aug-Zero,45,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugZero,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,cf6724f145e128a2870eea69c6e5ca6335204aa21e51cce930ba6791fdd414a3,9cc5475c47f77a233e4c5721f5eb5794459ae9d35416037d1d714fad93af97d7,dd0a7934130c47cbcd52ee0c7b49c7a7c861d4fa70bacc532026f69f51f3cbf0,31094e033122272f5a6987918232d5d0aa41a3d0b50f2421c6d18d6025d04b5c,a0d459c3e58a93775456c6d60eab6e02b21165743c302c677ae05a16e018c76f,681297f41928123d3d8bb61ceab356598d3ae8aaa31ccb088d4e1765adbbc8ed,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,0,64,4,0.5,validation_selected_f1,0.4179933438143304,0.010224747234377945,0.02506816734607242,0.025164275950659575,18.64258949400005,0.19301425999992716,18.835603753999976
DGraphFin,DGraphFin,DLG-Aug-Zero,46,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugZero,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,cf6724f145e128a2870eea69c6e5ca6335204aa21e51cce930ba6791fdd414a3,9cc5475c47f77a233e4c5721f5eb5794459ae9d35416037d1d714fad93af97d7,dd0a7934130c47cbcd52ee0c7b49c7a7c861d4fa70bacc532026f69f51f3cbf0,31094e033122272f5a6987918232d5d0aa41a3d0b50f2421c6d18d6025d04b5c,a0d459c3e58a93775456c6d60eab6e02b21165743c302c677ae05a16e018c76f,681297f41928123d3d8bb61ceab356598d3ae8aaa31ccb088d4e1765adbbc8ed,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,0,64,4,0.5,validation_selected_f1,0.4414234796629034,0.010694289392998628,0.02517093241362619,0.025186321788689167,18.726262620000057,0.19660329499993168,18.92286591499999
