comparison,model_a,model_b,metric,test,statistic,p_value,n_datasets,effect_size_dz,adjusted_p,significant,correction,view_name
CONAD vs CoLA,CONAD,CoLA,pr_auc,wilcoxon,0.0,0.0625,5,1.3053404992651776,1.0,False,holm,broad_complete_case
CONAD vs DLG-Aug,CONAD,DLG-Aug,pr_auc,wilcoxon,4.0,0.4375,5,0.4666161672559287,1.0,False,holm,broad_complete_case
CONAD vs DLG-Base,CONAD,DLG-Base,pr_auc,wilcoxon,6.0,0.8125,5,0.4506442216576382,1.0,False,holm,broad_complete_case
CONAD vs DOMINANT,CONAD,DOMINANT,pr_auc,wilcoxon,1.0,0.25,5,0.5449525061391743,1.0,False,holm,broad_complete_case
CONAD vs GADNR,CONAD,GADNR,pr_auc,wilcoxon,0.0,0.0625,5,1.3364402286690114,1.0,False,holm,broad_complete_case
CONAD vs OCGNN,CONAD,OCGNN,pr_auc,wilcoxon,0.0,0.0625,5,1.345275716234752,1.0,False,holm,broad_complete_case
CoLA vs DLG-Aug,CoLA,DLG-Aug,pr_auc,wilcoxon,0.0,0.0625,5,-1.2768272197699588,1.0,False,holm,broad_complete_case
CoLA vs DLG-Base,CoLA,DLG-Base,pr_auc,wilcoxon,0.0,0.0625,5,-1.2685187594168308,1.0,False,holm,broad_complete_case
CoLA vs DOMINANT,CoLA,DOMINANT,pr_auc,wilcoxon,0.0,0.0625,5,-1.3053242657028337,1.0,False,holm,broad_complete_case
CoLA vs GADNR,CoLA,GADNR,pr_auc,wilcoxon,2.0,0.1875,5,-0.7549370703899546,1.0,False,holm,broad_complete_case
CoLA vs OCGNN,CoLA,OCGNN,pr_auc,wilcoxon,1.0,0.125,5,0.5861778029243191,1.0,False,holm,broad_complete_case
DLG-Aug vs DLG-Base,DLG-Aug,DLG-Base,pr_auc,wilcoxon,5.0,0.625,5,-0.29612350545491767,1.0,False,holm,broad_complete_case
DLG-Aug vs DOMINANT,DLG-Aug,DOMINANT,pr_auc,wilcoxon,4.0,0.4375,5,-0.4665367638610523,1.0,False,holm,broad_complete_case
DLG-Aug vs GADNR,DLG-Aug,GADNR,pr_auc,wilcoxon,0.0,0.0625,5,1.1789577391206296,1.0,False,holm,broad_complete_case
DLG-Aug vs OCGNN,DLG-Aug,OCGNN,pr_auc,wilcoxon,0.0,0.0625,5,1.3904234742704398,1.0,False,holm,broad_complete_case
DLG-Base vs DOMINANT,DLG-Base,DOMINANT,pr_auc,wilcoxon,6.0,0.8125,5,-0.4505671800026878,1.0,False,holm,broad_complete_case
DLG-Base vs GADNR,DLG-Base,GADNR,pr_auc,wilcoxon,0.0,0.0625,5,1.178961699748041,1.0,False,holm,broad_complete_case
